tok1,tok2,tok3,tok4,tok5,target
101,2034,6926,1024,102,101
101,2077,2057,10838,2151,2582
2582,1010,2963,2033,3713,1012
1012,102,101,102,101,2035
2035,1024,102,101,3713,1010
1010,3713,1012,102,101,102
102,101,2034,6926,1024,102
102,101,2017,2024,2035,10395
10395,2738,2000,3280,2084,2000
2000,6904,15630,2232,1029,102
102,101,102,101,2035,1024
1024,102,101,10395,1012,10395
10395,1012,102,101,102,101
101,2034,6926,1024,102,101
101,2034,1010,2017,2113,29080
29080,2271,7871,4173,2003,2708
2708,4099,2000,1996,2111,1012
1012,102,101,102,101,2035
2035,1024,102,101,2057,2113
2113,1005,1056,1010,2057,2113
2113,1005,1056,1012,102,101
101,102,101,2034,6926,1024
1024,102,101,2292,2149,3102
3102,2032,1010,1998,2057,1005
1005,2222,2031,9781,2012,2256
2256,2219,3976,1012,102,101
101,2003,1005,1056,1037,14392
14392,1029,102,101,102,101
101,2035,1024,102,101,2053
2053,2062,3331,2006,1005,1056
1056,1025,2292,2009,2022,2589
2589,1024,2185,1010,2185,999
999,102,101,102,101,2117
2117,6926,1024,102,101,2028
2028,2773,1010,2204,4480,1012
1012,102,101,102,101,2034
2034,6926,1024,102,101,2057
2057,2024,14729,3532,4480,1010
1010,1996,10717,3619,2204,1012
1012,102,101,2054,3691,14175
14175,20175,2015,2006,2052,15804
15804,2149,1024,2065,2027,102
102,101,2052,10750,2149,2021
2021,1996,3565,10258,18518,1010
1010,2096,2009,2020,102,101
101,2878,14045,1010,2057,2453
2453,3984,2027,7653,2149,23369
23369,2135,1025,102,101,2021
2021,2027,2228,2057,2024,2205
2205,6203,1024,1996,8155,2791
2791,2008,102,101,21358,29301
29301,2015,2149,1010,1996,4874
4874,1997,2256,14624,1010,2003
2003,2004,2019,102,101,12612
12612,2000,3327,5562,2037,14531
14531,1025,2256,102,101,9015
9015,6651,2003,1037,5114,2000
2000,2068,2292,2149,7195,2023
2023,2007,102,101,2256,12694
12694,2015,1010,9413,2063,2057
2057,2468,26008,2015,1024,2005
2005,1996,5932,2113,1045,102
102,101,3713,2023,1999,9012
9012,2005,7852,1010,2025,1999
1999,21810,2005,7195,1012,102
102,101,102,101,2117,6926
6926,1024,102,101,2052,2017
2017,10838,2926,2114,29080,2271
2271,7871,4173,1029,102,101
101,102,101,2035,1024,102
102,101,2114,2032,2034,1024
1024,2002,1005,1055,1037,2200
2200,3899,2000,1996,2691,2389
2389,3723,1012,102,101,102
102,101,2117,6926,1024,102
102,101,5136,2017,2054,2578
2578,2002,2038,2589,2005,2010
2010,2406,1029,102,101,102
102,101,2034,6926,1024,102
102,101,2200,2092,1025,1998
1998,2071,2022,4180,2000,2507
2507,2032,2204,102,101,3189
3189,3481,1010,2021,2008,2002
2002,12778,2370,2007,2108,7098
7098,1012,102,101,102,101
101,2117,6926,1024,102,101
101,29349,1010,2021,3713,2025
2025,24391,2135,1012,102,101
101,102,101,2034,6926,1024
1024,102,101,1045,2360,19662
19662,2017,1010,2054,2002,6045
6045,2232,2589,18172,1010,2002
2002,2106,102,101,2009,2000
2000,2008,2203,1024,2295,3730
3730,1011,13454,2094,2273,2064
2064,2022,102,101,4180,2000
2000,2360,2009,2001,2005,2010
2010,2406,2002,2106,2009,2000
2000,102,101,3531,2010,2388
2388,1998,2000,2022,6576,7098
7098,1025,2029,2002,102,101
101,2003,1010,2130,6229,1996
1996,7998,1997,2010,11870,1012
1012,102,101,102,101,2117
2117,6926,1024,102,101,2054
2054,2002,3685,2393,1999,2010
2010,3267,1010,2017,4070,1037
1037,102,101,3580,1999,2032
2032,1012,2017,2442,1999,2053
2053,2126,2360,2002,2003,11821
11821,24826,2015,1012,102,101
101,102,101,2034,6926,1024
1024,102,101,2065,1045,2442
2442,2025,1010,1045,2342,2025
2025,2022,20225,1997,13519,1025
1025,102,101,2002,6045,2232
2232,19399,1010,2007,15726,1010
1010,2000,12824,1999,23318,1012
1012,102,101,2054,15701,2024
2024,2122,1029,1996,2060,2217
2217,1051,1005,1996,2103,102
102,101,2003,13763,1024,2339
2339,2994,2057,10975,5844,2182
2182,1029,2000,1996,9424,999
999,102,101,102,101,2035
2035,1024,102,101,2272,1010
1010,2272,1012,102,101,102
102,101,2034,6926,1024,102
102,101,3730,999,2040,3310
3310,2182,1029,102,101,102
102,101,2117,6926,1024,102
102,101,11007,2273,18595,2271
2271,12943,29443,4502,1025,2028
2028,2008,6045,2232,2467,3866
3866,102,101,1996,2111,1012
1012,102,101,102,101,2034
2034,6926,1024,102,101,2002
2002,1005,1055,2028,7481,2438
2438,1024,2052,2035,1996,2717
2717,2020,2061,999,102,101
101,102,101,2273,18595,2271
2271,1024,102,101,2054,2147
2147,1005,1055,1010,2026,2406
2406,3549,1010,1999,2192,1029
1029,2073,2175,2017,102,101
101,2007,12236,1998,4184,1029
1029,1996,3043,1029,3713,1010
1010,1045,11839,2017,1012,102
102,101,102,101,2034,6926
6926,1024,102,101,2256,2449
2449,2003,2025,4242,2000,1996
1996,4001,1025,2027,2031,102
102,101,2018,10710,2989,2023
2023,3481,15864,2054,2057,13566
13566,2000,2079,1010,102,101
101,2029,2085,2057,1005,2222
2222,2265,1005,7861,1999,15616
15616,1012,2027,2360,3532,102
102,101,4848,5668,2031,2844
2844,12938,1024,2027,4618,2113
2113,2057,102,101,2031,2844
2844,2608,2205,1012,102,101
101,102,101,2273,18595,2271
2271,1024,102,101,2339,1010
1010,5972,1010,2026,2204,2814
2814,1010,3067,7481,14754,1010
1010,102,101,2097,2017,25672
25672,25035,1029,102,101,102
102,101,2034,6926,1024,102
102,101,2057,3685,1010,2909
2909,1010,2057,2024,25757,2525
2525,1012,102,101,102,101
101,2273,18595,2271,1024,102
102,101,1045,2425,2017,1010
